,index,date,value,year,month
0,76,1997-11-01,7.39810106,1997,Nov
1,77,1997-12-01,10.09623339,1997,Dec
2,78,1998-01-01,8.79851303,1998,Jan
3,79,1998-02-01,5.91826076,1998,Feb
4,80,1998-03-01,6.53449298,1998,Mar
5,81,1998-04-01,6.67573561,1998,Apr
6,82,1998-05-01,7.06420058,1998,May
7,83,1998-06-01,7.38338118,1998,Jun
8,84,1998-07-01,7.81349587,1998,Jul
9,85,1998-08-01,7.43189221,1998,Aug
10,86,1998-09-01,8.27511722,1998,Sep
11,87,1998-10-01,8.26044138,1998,Oct
12,88,1998-11-01,8.59615575,1998,Nov
13,89,1998-12-01,10.55893902,1998,Dec
14,90,1999-01-01,10.3914156,1999,Jan
15,91,1999-02-01,6.42153456,1999,Feb
16,92,1999-03-01,8.06261937,1999,Mar
17,93,1999-04-01,7.2977391,1999,Apr
18,94,1999-05-01,7.93691594,1999,May
19,95,1999-06-01,8.16532298,1999,Jun
20,96,1999-07-01,8.71742046,1999,Jul
21,97,1999-08-01,9.07096378,1999,Aug
22,98,1999-09-01,9.17711337,1999,Sep
23,99,1999-10-01,9.25188674,1999,Oct
24,100,1999-11-01,9.93313643,1999,Nov
25,101,1999-12-01,11.53297428,1999,Dec
26,102,2000-01-01,12.51146235,2000,Jan
27,103,2000-02-01,7.45719853,2000,Feb
28,104,2000-03-01,8.59119084,2000,Mar
29,105,2000-04-01,8.47400037,2000,Apr
30,106,2000-05-01,9.3868026,2000,May
31,107,2000-06-01,9.56039945,2000,Jun
32,108,2000-07-01,10.8342948,2000,Jul
33,109,2000-08-01,10.64375083,2000,Aug
34,110,2000-09-01,9.90816186,2000,Sep
35,111,2000-10-01,11.7100413,2000,Oct
36,112,2000-11-01,11.34015074,2000,Nov
37,113,2000-12-01,12.07913184,2000,Dec
38,114,2001-01-01,14.49758109,2001,Jan
39,115,2001-02-01,8.04927477,2001,Feb
40,116,2001-03-01,10.31289116,2001,Mar
41,117,2001-04-01,9.75335821,2001,Apr
42,118,2001-05-01,10.85038183,2001,May
43,119,2001-06-01,9.96171916,2001,Jun
44,120,2001-07-01,11.44360144,2001,Jul
45,121,2001-08-01,11.65923889,2001,Aug
46,122,2001-09-01,10.64705979,2001,Sep
47,123,2001-10-01,12.65213444,2001,Oct
48,124,2001-11-01,13.67446631,2001,Nov
49,125,2001-12-01,12.96573509,2001,Dec
50,126,2002-01-01,16.30026927,2002,Jan
51,127,2002-02-01,9.05348536,2002,Feb
52,128,2002-03-01,10.00244879,2002,Mar
53,129,2002-04-01,10.78875007,2002,Apr
54,130,2002-05-01,12.10670515,2002,May
55,131,2002-06-01,10.95410107,2002,Jun
56,132,2002-07-01,12.84456587,2002,Jul
57,133,2002-08-01,12.19649985,2002,Aug
58,134,2002-09-01,12.85474787,2002,Sep
59,135,2002-10-01,13.54200436,2002,Oct
60,136,2002-11-01,13.28764,2002,Nov
61,137,2002-12-01,15.13491784,2002,Dec
62,138,2003-01-01,16.82834968,2003,Jan
63,139,2003-02-01,9.80021461,2003,Feb
64,140,2003-03-01,10.81699371,2003,Mar
65,141,2003-04-01,10.65422256,2003,Apr
66,142,2003-05-01,12.51232269,2003,May
67,143,2003-06-01,12.16120969,2003,Jun
68,144,2003-07-01,12.9980462,2003,Jul
69,145,2003-08-01,12.51727568,2003,Aug
70,146,2003-09-01,13.26865761,2003,Sep
71,147,2003-10-01,14.73362169,2003,Oct
72,148,2003-11-01,13.66938174,2003,Nov
73,149,2003-12-01,16.50396561,2003,Dec
74,150,2004-01-01,18.00376795,2004,Jan
75,151,2004-02-01,11.93802987,2004,Feb
76,152,2004-03-01,12.9979001,2004,Mar
77,153,2004-04-01,12.88264507,2004,Apr
78,154,2004-05-01,13.94344681,2004,May
79,155,2004-06-01,13.9894722,2004,Jun
80,156,2004-07-01,15.33909742,2004,Jul
81,157,2004-08-01,15.37076394,2004,Aug
82,158,2004-09-01,16.142005,2004,Sep
83,159,2004-10-01,16.685754,2004,Oct
84,160,2004-11-01,17.636728,2004,Nov
85,161,2004-12-01,18.869325,2004,Dec
86,162,2005-01-01,20.778723,2005,Jan
87,163,2005-02-01,12.154552,2005,Feb
88,164,2005-03-01,13.402392,2005,Mar
89,165,2005-04-01,14.459239,2005,Apr
90,166,2005-05-01,14.795102,2005,May
91,167,2005-06-01,15.705248,2005,Jun
92,168,2005-07-01,15.82955,2005,Jul
93,169,2005-08-01,17.554701,2005,Aug
94,170,2005-09-01,18.100864,2005,Sep
95,171,2005-10-01,17.496668,2005,Oct
96,172,2005-11-01,19.347265,2005,Nov
97,173,2005-12-01,20.031291,2005,Dec
98,174,2006-01-01,23.486694,2006,Jan
99,175,2006-02-01,12.536987,2006,Feb
100,176,2006-03-01,15.467018,2006,Mar
101,177,2006-04-01,14.233539,2006,Apr
102,178,2006-05-01,17.783058,2006,May
103,179,2006-06-01,16.291602,2006,Jun
104,180,2006-07-01,16.980282,2006,Jul
105,181,2006-08-01,18.612189,2006,Aug
106,182,2006-09-01,16.623343,2006,Sep
107,183,2006-10-01,21.430241,2006,Oct
108,184,2006-11-01,23.575517,2006,Nov
109,185,2006-12-01,23.334206,2006,Dec
110,186,2007-01-01,28.038383,2007,Jan
111,187,2007-02-01,16.763869,2007,Feb
112,188,2007-03-01,19.792754,2007,Mar
113,189,2007-04-01,16.427305,2007,Apr
114,190,2007-05-01,21.000742,2007,May
115,191,2007-06-01,20.681002,2007,Jun
116,192,2007-07-01,21.83489,2007,Jul
117,193,2007-08-01,23.93020353,2007,Aug
118,194,2007-09-01,22.93035694,2007,Sep
